# Pressure coefficient results from CFL3D, Re_H=36,000, SST model
# Cp values have been shifted so that Cp is close to 0 near x/H=40
x,cp
 5.895800114E+00, -3.467002511E-02
 5.916699886E+00, -3.362998366E-02
 5.937500000E+00, -3.260001540E-02
 5.958300114E+00, -3.156998754E-02
 5.979199886E+00, -3.055998497E-02
 6.000000000E+00, -2.955999784E-02
 6.020800114E+00, -2.857002430E-02
 6.041699886E+00, -2.759000473E-02
 6.062500000E+00, -2.661999874E-02
 6.083300114E+00, -2.567001991E-02
 6.104199886E+00, -2.472999506E-02
 6.125000000E+00, -2.378997020E-02
 6.145800114E+00, -2.286001854E-02
 6.166699886E+00, -2.194997482E-02
 6.187500000E+00, -2.103999071E-02
 6.208300114E+00, -2.015998773E-02
 6.229199886E+00, -1.927998476E-02
 6.250000000E+00, -1.839998178E-02
 6.270800114E+00, -1.754000597E-02
 6.291699886E+00, -1.668998413E-02
 6.312500000E+00, -1.585998945E-02
 6.333300114E+00, -1.502999477E-02
 6.354199886E+00, -1.421001367E-02
 6.375000000E+00, -1.339998655E-02
 6.395800114E+00, -1.260998659E-02
 6.416699886E+00, -1.181998663E-02
 6.437500000E+00, -1.105001383E-02
 6.458300114E+00, -1.028999500E-02
 6.479199886E+00, -9.529976174E-03
