# Turbulence results from CFL3D, Re_H=36,000, SST model
# Note: computed results were quasi-steady
# Note: extraction at x/H=-4 was at nearest cell-center
x,y,uv
 1.000000000E+00, 2.383235991E-01, -2.606226371E-05
 1.000000000E+00, 2.496102750E-01, -3.831311551E-05
 1.000000000E+00, 2.612203062E-01, -5.087429599E-05
 1.000000000E+00, 2.731439471E-01, -6.370923074E-05
 1.000000000E+00, 2.853696942E-01, -7.677917893E-05
 1.000000000E+00, 2.978843451E-01, -9.004172898E-05
 1.000000000E+00, 3.106728196E-01, -1.034494635E-04
 1.000000000E+00, 3.237183690E-01, -1.169493335E-04
 1.000000000E+00, 3.370026648E-01, -1.304823527E-04
 1.000000000E+00, 3.505057096E-01, -1.439834305E-04
 1.000000000E+00, 3.642061055E-01, -1.573819754E-04
 1.000000000E+00, 3.780810535E-01, -1.706023613E-04
 1.000000000E+00, 3.921067119E-01, -1.835650037E-04
 1.000000000E+00, 4.062580764E-01, -1.961871458E-04
 1.000000000E+00, 4.205094278E-01, -2.083841100E-04
 1.000000000E+00, 4.348344207E-01, -2.200704475E-04
 1.000000000E+00, 4.492062032E-01, -2.311608550E-04
 1.000000000E+00, 4.635978639E-01, -2.415716881E-04
 1.000000000E+00, 4.779824615E-01, -2.512219944E-04
 1.000000000E+00, 4.923332930E-01, -2.600347798E-04
 1.000000000E+00, 5.066241622E-01, -2.679383615E-04
 1.000000000E+00, 5.208296180E-01, -2.748683037E-04
 1.000000000E+00, 5.349249244E-01, -2.807693672E-04
 1.000000000E+00, 5.488865972E-01, -2.855982457E-04
 1.000000000E+00, 5.626922846E-01, -2.893266792E-04
 1.000000000E+00, 5.763211846E-01, -2.919455874E-04
 1.000000000E+00, 5.897538066E-01, -2.934694639E-04
 1.000000000E+00, 6.029724479E-01, -2.939417318E-04
 1.000000000E+00, 6.159611940E-01, -2.934401273E-04
 1.000000000E+00, 6.287056804E-01, -2.920819388E-04
 1.000000000E+00, 6.411936283E-01, -2.900284308E-04
 1.000000000E+00, 6.534144878E-01, -2.874878701E-04
 1.000000000E+00, 6.653595567E-01, -2.847168362E-04
 1.000000000E+00, 6.770219207E-01, -2.820196387E-04
 1.000000000E+00, 6.883966327E-01, -2.797474735E-04
 1.000000000E+00, 6.994803548E-01, -2.782981610E-04
 1.000000000E+00, 7.102713585E-01, -2.780564828E-04
 1.000000000E+00, 7.207696438E-01, -2.795098117E-04
 1.000000000E+00, 7.309766412E-01, -2.833018370E-04
 1.000000000E+00, 7.408953309E-01, -2.899907413E-04
 1.000000000E+00, 7.505297661E-01, -3.002106096E-04
 1.000000000E+00, 7.598854303E-01, -3.149019321E-04
 1.000000000E+00, 7.689688206E-01, -3.352238855E-04
 1.000000000E+00, 7.777875066E-01, -3.625452518E-04
 1.000000000E+00, 7.863498926E-01, -3.984912182E-04
 1.000000000E+00, 7.946652770E-01, -4.449652333E-04
 1.000000000E+00, 8.027436137E-01, -5.041262484E-04
 1.000000000E+00, 8.105954528E-01, -5.782300141E-04
 1.000000000E+00, 8.182319403E-01, -6.695209886E-04
 1.000000000E+00, 8.256042004E-01, -7.791212411E-04
 1.000000000E+00, 8.326897025E-01, -9.071662207E-04
 1.000000000E+00, 8.394981027E-01, -1.052941661E-03
 1.000000000E+00, 8.460389972E-01, -1.214778633E-03
 1.000000000E+00, 8.523222208E-01, -1.390308025E-03
 1.000000000E+00, 8.583575487E-01, -1.576759387E-03
 1.000000000E+00, 8.641546965E-01, -1.771286363E-03
 1.000000000E+00, 8.697232008E-01, -1.971185906E-03
 1.000000000E+00, 8.750725389E-01, -2.174027264E-03
 1.000000000E+00, 8.802121878E-01, -2.377704019E-03
