# Velocity results from CFL3D, Re_H=36,000, SST model
# Note: computed results were quasi-steady
x,y,u
 1.000000000E+00, 5.103230849E-02, -1.152758207E-02
 1.000000000E+00, 5.424910039E-02, -1.345769130E-02
 1.000000000E+00, 5.764798820E-02, -1.545189787E-02
 1.000000000E+00, 6.123762950E-02, -1.750315726E-02
 1.000000000E+00, 6.502689421E-02, -1.960278302E-02
 1.000000000E+00, 6.902483106E-02, -2.174040861E-02
 1.000000000E+00, 7.324063778E-02, -2.390402183E-02
 1.000000000E+00, 7.768364996E-02, -2.608011290E-02
 1.000000000E+00, 8.236327022E-02, -2.825388312E-02
 1.000000000E+00, 8.728893846E-02, -3.040956892E-02
 1.000000000E+00, 9.247011691E-02, -3.253076598E-02
 1.000000000E+00, 9.791619331E-02, -3.460084647E-02
 1.000000000E+00, 1.036364213E-01, -3.660339490E-02
 1.000000000E+00, 1.096399054E-01, -3.852260113E-02
 1.000000000E+00, 1.159354597E-01, -4.034365714E-02
 1.000000000E+00, 1.225315928E-01, -4.205311462E-02
 1.000000000E+00, 1.294363886E-01, -4.363914952E-02
 1.000000000E+00, 1.366574168E-01, -4.509177059E-02
 1.000000000E+00, 1.442016512E-01, -4.640290886E-02
 1.000000000E+00, 1.520753801E-01, -4.756649211E-02
 1.000000000E+00, 1.602840871E-01, -4.857833683E-02
 1.000000000E+00, 1.688323319E-01, -4.943608493E-02
 1.000000000E+00, 1.777237058E-01, -5.013897642E-02
 1.000000000E+00, 1.869606376E-01, -5.068772286E-02
 1.000000000E+00, 1.965443641E-01, -5.108419433E-02
 1.000000000E+00, 2.064747959E-01, -5.133128166E-02
 1.000000000E+00, 2.167504281E-01, -5.143263564E-02
 1.000000000E+00, 2.273682207E-01, -5.139250308E-02
 1.000000000E+00, 2.383235991E-01, -5.121555552E-02
 1.000000000E+00, 2.496102750E-01, -5.090677366E-02
 1.000000000E+00, 2.612203062E-01, -5.047136173E-02
 1.000000000E+00, 2.731439471E-01, -4.991467297E-02
 1.000000000E+00, 2.853696942E-01, -4.924218357E-02
 1.000000000E+00, 2.978843451E-01, -4.845945910E-02
 1.000000000E+00, 3.106728196E-01, -4.757218435E-02
 1.000000000E+00, 3.237183690E-01, -4.658616707E-02
 1.000000000E+00, 3.370026648E-01, -4.550734907E-02
 1.000000000E+00, 3.505057096E-01, -4.434182122E-02
 1.000000000E+00, 3.642061055E-01, -4.309586436E-02
 1.000000000E+00, 3.780810535E-01, -4.177591205E-02
 1.000000000E+00, 3.921067119E-01, -4.038862884E-02
 1.000000000E+00, 4.062580764E-01, -3.894083947E-02
 1.000000000E+00, 4.205094278E-01, -3.743953630E-02
 1.000000000E+00, 4.348344207E-01, -3.589187935E-02
 1.000000000E+00, 4.492062032E-01, -3.430512920E-02
 1.000000000E+00, 4.635978639E-01, -3.268661723E-02
 1.000000000E+00, 4.779824615E-01, -3.104371764E-02
 1.000000000E+00, 4.923332930E-01, -2.938373387E-02
 1.000000000E+00, 5.066241622E-01, -2.771386877E-02
 1.000000000E+00, 5.208296180E-01, -2.604112402E-02
 1.000000000E+00, 5.349249244E-01, -2.437219396E-02
 1.000000000E+00, 5.488865972E-01, -2.271336131E-02
 1.000000000E+00, 5.626922846E-01, -2.107037976E-02
 1.000000000E+00, 5.763211846E-01, -1.944832876E-02
 1.000000000E+00, 5.897538066E-01, -1.785145700E-02
 1.000000000E+00, 6.029724479E-01, -1.628302224E-02
